[13-Feb-2016 12:25:09 UTC] PHP Warning:  imagejpeg() [<a href='function.imagejpeg'>function.imagejpeg</a>]: Unable to open 'D:/wampserver/wamp/www/lulu/bmz_cache/f/f2b60432ce33c67c698a3b75cf439724.image.185x305.半身全实体硅胶娃娃.jpg' for writing: Invalid argument in D:\wampserver\wamp\www\lulu\includes\classes\bmz_image_handler.class.php on line 657
[13-Feb-2016 12:25:09 UTC] PHP Stack trace:
[13-Feb-2016 12:25:09 UTC] PHP   1. {main}() D:\wampserver\wamp\www\lulu\index.php:0
[13-Feb-2016 12:25:09 UTC] PHP   2. require() D:\wampserver\wamp\www\lulu\index.php:97
[13-Feb-2016 12:25:09 UTC] PHP   3. require() D:\wampserver\wamp\www\lulu\includes\templates\mars\common\tpl_main_page.php:284
[13-Feb-2016 12:25:09 UTC] PHP   4. require() D:\wampserver\wamp\www\lulu\includes\modules\mars\column_left.php:65
[13-Feb-2016 12:25:09 UTC] PHP   5. require() D:\wampserver\wamp\www\lulu\includes\modules\sideboxes\whats_new.php:27
[13-Feb-2016 12:25:09 UTC] PHP   6. zen_image() D:\wampserver\wamp\www\lulu\includes\templates\mars\sideboxes\tpl_whats_new.php:22
[13-Feb-2016 12:25:09 UTC] PHP   7. handle_image() D:\wampserver\wamp\www\lulu\includes\functions\html_output.php:202
[13-Feb-2016 12:25:09 UTC] PHP   8. ih_image->get_local() D:\wampserver\wamp\www\lulu\includes\functions\extra_functions\functions_bmz_image_handler.php:58
[13-Feb-2016 12:25:09 UTC] PHP   9. ih_image->get_resized_image() D:\wampserver\wamp\www\lulu\includes\classes\bmz_image_handler.class.php:195
[13-Feb-2016 12:25:09 UTC] PHP  10. ih_image->resize_imageGD() D:\wampserver\wamp\www\lulu\includes\classes\bmz_image_handler.class.php:268
[13-Feb-2016 12:25:09 UTC] PHP  11. ih_image->save_imageGD() D:\wampserver\wamp\www\lulu\includes\classes\bmz_image_handler.class.php:600
[13-Feb-2016 12:25:09 UTC] PHP  12. imagejpeg() D:\wampserver\wamp\www\lulu\includes\classes\bmz_image_handler.class.php:657
[13-Feb-2016 12:25:10 UTC] PHP Warning:  imagepng() [<a href='function.imagepng'>function.imagepng</a>]: Unable to open 'D:/wampserver/wamp/www/lulu/bmz_cache/f/f672a2b19f91ae8e596ad5efa5467e0f.image.167x305.125cm智能可发声口交全身硅胶实体娃娃.png' for writing: Invalid argument in D:\wampserver\wamp\www\lulu\includes\classes\bmz_image_handler.class.php on line 652
[13-Feb-2016 12:25:10 UTC] PHP Stack trace:
[13-Feb-2016 12:25:10 UTC] PHP   1. {main}() D:\wampserver\wamp\www\lulu\index.php:0
[13-Feb-2016 12:25:10 UTC] PHP   2. require() D:\wampserver\wamp\www\lulu\index.php:97
[13-Feb-2016 12:25:10 UTC] PHP   3. require() D:\wampserver\wamp\www\lulu\includes\templates\mars\common\tpl_main_page.php:284
[13-Feb-2016 12:25:10 UTC] PHP   4. require() D:\wampserver\wamp\www\lulu\includes\modules\mars\column_left.php:65
[13-Feb-2016 12:25:10 UTC] PHP   5. require() D:\wampserver\wamp\www\lulu\includes\modules\sideboxes\featured.php:32
[13-Feb-2016 12:25:10 UTC] PHP   6. zen_image() D:\wampserver\wamp\www\lulu\includes\templates\mars\sideboxes\tpl_featured.php:23
[13-Feb-2016 12:25:10 UTC] PHP   7. handle_image() D:\wampserver\wamp\www\lulu\includes\functions\html_output.php:202
[13-Feb-2016 12:25:10 UTC] PHP   8. ih_image->get_local() D:\wampserver\wamp\www\lulu\includes\functions\extra_functions\functions_bmz_image_handler.php:58
[13-Feb-2016 12:25:10 UTC] PHP   9. ih_image->get_resized_image() D:\wampserver\wamp\www\lulu\includes\classes\bmz_image_handler.class.php:195
[13-Feb-2016 12:25:10 UTC] PHP  10. ih_image->resize_imageGD() D:\wampserver\wamp\www\lulu\includes\classes\bmz_image_handler.class.php:268
[13-Feb-2016 12:25:10 UTC] PHP  11. ih_image->save_imageGD() D:\wampserver\wamp\www\lulu\includes\classes\bmz_image_handler.class.php:600
